epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59299,1.4745,3.54158,1.96254,0.00346,0.82,0.15569,0.08138,1.76112,3.8116,2.76789,0.0003333,0.0003333,0.0003333
2,9.67704,1.29568,2.9326,1.76138,0.68472,0.07703,0.3059,0.15474,2.11869,3.27815,3.7812,0.000671001,0.000671001,0.000671001
3,12.823,1.3041,2.52387,1.75124,0.44738,0.38641,0.41391,0.23074,1.79183,3.13681,2.7102,0.00100188,0.00100188,0.00100188
4,16.04,1.35344,2.30213,1.75764,0.50961,0.59313,0.58976,0.28789,1.5928,5.01791,2.64457,0.001078,0.001078,0.001078
5,19.0771,1.29316,2.20855,1.73912,0.55464,0.43959,0.52061,0.2199,1.8617,3.38849,2.74969,0.001067,0.001067,0.001067
6,22.1066,1.33472,2.08384,1.73129,0.64537,0.72357,0.75137,0.33746,1.68064,3.62032,3.00287,0.00105601,0.00105601,0.00105601
7,25.1281,1.25261,1.93736,1.67958,0.56718,0.71216,0.70193,0.36279,1.88173,2.81353,3.21343,0.00104501,0.00104501,0.00104501
8,28.1102,1.28828,1.83174,1.67124,0.74187,0.68017,0.82126,0.457,1.61148,1.7903,2.79364,0.00103401,0.00103401,0.00103401
9,31.0119,1.27828,1.84856,1.6571,0.56583,0.69085,0.69343,0.28864,2.19223,1.96308,4.05728,0.00102301,0.00102301,0.00102301
10,33.9622,1.19975,1.83009,1.60457,0.90026,0.74708,0.87119,0.4788,1.29828,1.93372,2.07943,0.00101201,0.00101201,0.00101201
11,36.9392,1.2162,1.69722,1.61711,0.63075,0.64996,0.64969,0.39169,1.32627,1.83916,2.10855,0.00100101,0.00100101,0.00100101
12,39.9118,1.21289,1.67135,1.60327,0.93879,0.86418,0.88398,0.54309,1.45405,1.45229,2.36021,0.000990012,0.000990012,0.000990012
13,42.9849,1.17676,1.65718,1.58166,0.67868,0.80578,0.78217,0.43976,1.47957,1.78577,2.18536,0.000979013,0.000979013,0.000979013
14,45.835,1.21561,1.64039,1.62147,0.48292,0.74953,0.73883,0.47325,1.27858,1.68507,1.94021,0.000968014,0.000968014,0.000968014
15,48.7867,1.17849,1.58084,1.59886,0.70451,0.77011,0.73915,0.38133,1.63591,1.78556,2.35892,0.000957015,0.000957015,0.000957015
16,51.9155,1.16058,1.56655,1.57881,0.75582,0.74,0.7565,0.50343,1.30761,1.48054,1.97091,0.000946016,0.000946016,0.000946016
17,54.9519,1.12631,1.45772,1.52447,0.62288,0.76694,0.81915,0.47606,1.50365,1.88933,2.355,0.000935018,0.000935018,0.000935018
18,58.1403,1.06707,1.37074,1.52423,0.77445,0.80574,0.82458,0.49542,1.44873,1.48581,2.25294,0.000924019,0.000924019,0.000924019
19,61.2097,1.10338,1.39463,1.52355,0.88233,0.79431,0.89234,0.41161,1.70293,1.3055,2.93047,0.00091302,0.00091302,0.00091302
20,64.217,1.08104,1.39126,1.5247,0.85823,0.75895,0.84419,0.50314,1.28486,1.23345,2.02147,0.000902021,0.000902021,0.000902021
21,67.1598,1.086,1.35153,1.536,0.79133,0.81166,0.85708,0.54749,1.21688,1.32561,1.96703,0.000891022,0.000891022,0.000891022
22,70.2305,1.07228,1.32727,1.4752,0.73658,0.77333,0.77037,0.47709,1.40653,1.23896,2.20384,0.000880023,0.000880023,0.000880023
23,73.2867,1.0682,1.31626,1.4859,0.79096,0.80251,0.83714,0.55244,1.31959,1.30251,1.98309,0.000869024,0.000869024,0.000869024
24,76.602,1.01094,1.26903,1.45286,0.73243,0.77803,0.81562,0.50979,1.44374,1.3126,2.18256,0.000858025,0.000858025,0.000858025
25,79.8281,1.05639,1.27483,1.50195,0.88707,0.85169,0.89018,0.56265,1.31742,1.02449,1.95513,0.000847026,0.000847026,0.000847026
26,83.3194,1.04228,1.196,1.48103,0.89636,0.80388,0.86404,0.51595,1.39217,1.12989,2.09827,0.000836027,0.000836027,0.000836027
27,86.5924,1.01128,1.15379,1.44502,0.8141,0.80667,0.84053,0.56985,1.2783,1.25192,1.9944,0.000825029,0.000825029,0.000825029
28,89.8446,0.97725,1.16466,1.45712,0.77473,0.7933,0.8364,0.48227,1.65628,1.36109,2.85392,0.00081403,0.00081403,0.00081403
29,93.1876,1.02234,1.16329,1.45151,0.8079,0.7665,0.81577,0.49717,1.59484,1.19438,2.43073,0.000803031,0.000803031,0.000803031
30,96.2887,1.06492,1.15648,1.48379,0.84338,0.83071,0.85262,0.52906,1.44299,1.24279,2.13326,0.000792032,0.000792032,0.000792032
31,99.4687,0.95344,1.12029,1.37863,0.82096,0.7867,0.83309,0.51773,1.40535,1.23371,2.12568,0.000781033,0.000781033,0.000781033
32,102.57,0.96825,1.15291,1.42852,0.73031,0.75753,0.81989,0.4867,1.39602,1.40512,2.25215,0.000770034,0.000770034,0.000770034
33,105.929,0.96385,1.14044,1.3966,0.84503,0.75958,0.82953,0.57894,1.17032,1.34683,1.84365,0.000759035,0.000759035,0.000759035
34,109.213,0.98769,1.06681,1.40931,0.89085,0.80027,0.87876,0.57505,1.2836,1.0541,1.94282,0.000748036,0.000748036,0.000748036
35,112.236,0.92843,1.03791,1.39655,0.86358,0.80364,0.85965,0.60387,1.18178,1.02429,1.86959,0.000737037,0.000737037,0.000737037
36,115.412,0.91927,1.04118,1.38667,0.83387,0.81887,0.8515,0.58495,1.22441,1.1524,1.92312,0.000726038,0.000726038,0.000726038
37,118.5,0.93622,1.00269,1.38878,0.78232,0.83841,0.84779,0.56328,1.39406,0.97644,2.14592,0.00071504,0.00071504,0.00071504
38,121.665,0.91715,1.00008,1.40835,0.85578,0.8433,0.84652,0.55938,1.51217,0.86827,2.35392,0.000704041,0.000704041,0.000704041
39,124.793,0.88142,0.91002,1.3307,0.82055,0.84045,0.83579,0.53365,1.29576,0.98178,1.99703,0.000693042,0.000693042,0.000693042
40,128.069,0.88383,0.94931,1.344,0.81175,0.76764,0.84518,0.54528,1.35365,1.04382,2.15045,0.000682043,0.000682043,0.000682043
41,131.215,0.86357,0.99819,1.34634,0.86414,0.87659,0.91253,0.53409,1.49729,0.96383,2.25321,0.000671044,0.000671044,0.000671044
42,134.457,0.884,0.95463,1.35685,0.67809,0.80667,0.74426,0.40765,1.56374,1.12262,2.4284,0.000660045,0.000660045,0.000660045
43,137.972,0.8647,0.91571,1.33008,0.84977,0.81301,0.84056,0.53703,1.39499,0.94319,2.22195,0.000649046,0.000649046,0.000649046
44,141.37,0.8958,0.93739,1.34029,0.82751,0.76424,0.81731,0.4596,1.52722,1.29666,2.21902,0.000638047,0.000638047,0.000638047
45,144.923,0.89787,0.90099,1.37764,0.704,0.66667,0.72276,0.48056,1.48476,1.03868,2.20233,0.000627048,0.000627048,0.000627048
46,148.446,0.87833,0.8731,1.35123,0.80984,0.78721,0.82408,0.56167,1.43781,0.96312,2.15316,0.000616049,0.000616049,0.000616049
47,151.709,0.82964,0.8427,1.2866,0.73874,0.8419,0.82645,0.52822,1.4211,1.03824,2.13798,0.000605051,0.000605051,0.000605051
48,154.895,0.86078,0.80662,1.33363,0.79854,0.82848,0.85978,0.48136,1.53592,1.09468,2.30093,0.000594052,0.000594052,0.000594052
49,158.141,0.77792,0.80899,1.26751,0.84862,0.82083,0.85258,0.4679,1.48793,1.10575,2.21444,0.000583053,0.000583053,0.000583053
50,161.27,0.85086,0.79487,1.31899,0.85324,0.8622,0.91056,0.61572,1.32408,0.95756,1.98132,0.000572054,0.000572054,0.000572054
51,164.554,0.7985,0.81226,1.29637,0.8573,0.85143,0.85128,0.53612,1.44411,0.98273,2.0824,0.000561055,0.000561055,0.000561055
52,167.972,0.77551,0.74751,1.25114,0.80912,0.82112,0.82458,0.55185,1.32017,0.87586,1.95756,0.000550056,0.000550056,0.000550056
53,171.287,0.81986,0.81376,1.2913,0.69713,0.86656,0.80466,0.52782,1.37242,1.01811,2.03974,0.000539057,0.000539057,0.000539057
54,174.661,0.83449,0.82129,1.30287,0.88299,0.81546,0.868,0.53607,1.48929,0.95639,2.24889,0.000528058,0.000528058,0.000528058
